Name,ram,processor,front_camera,rear_camera_1,rear_camera_2,rear_camera_3,rear_camera_4,rear_camera_Specific,battery_capacity,os,comp_os,resolution,height,width,depth,weight,refresh rate,screen size (inch),int_storage,call func,step_count,calorie count,heart Monitor,headphones,fingerprint_sensors,Price
Titan Smart Pro,1,MediaTek MT6739,0,0,0,0,0,None,330,none,"Android,iOS",86436,50,42,12,35,50,1.19,8,Yes,Yes,Yes,Yes,0,no,11995
OPPO Watch,1,Snapdragon Wear 3100,0,0,0,0,0,None,300,none,Android v6.0,115200,41.45,36.37,11.4,41,60,1.6,1,Yes,Yes,Yes,Yes,0,no,14990
Honor Watch GS 3,0.032,Kirin A1,0,0,0,0,0,None,450,none,"Android v6.0, iOS",217156,45.9,45.9,10.5,42.6,60,1.43,0.032,Yes,Yes,Yes,Yes,0,no,12999
Amazfit GTR Mini,0.512,1.2GHz Cortex-A7,0,0,0,0,0,None,280,none,"Android v7.0, iOS",173056,42.83,42.83,9.25,32,60,1.28,16,Yes,Yes,Yes,Yes,0,no,10999
Amazfit GTR 2,1,1.2GHz Apollo 3 Lite,0,0,0,0,0,None,471,none,"Android,iOS",206116,46.4,10.7,46.4,44,100,1.39,32,Yes,Yes,No,Yes,0,no,12999
Fire-Boltt Ultron,0.512,1.2GHz Cortex-A7,0,0,0,0,0,None,420,none,"Android v5.0, iOS",152100,40,31,11,60,60,1.2,16,Yes,Yes,Yes,Yes,0,no,10999
Amazfit T-Rex 2,0.512,1.2GHz Cortex-A7,0,0,0,0,0,None,500,none,"Android v7.0, iOS",206116,47.1,47.1,13.66,60,60,1.39,32,Yes,Yes,Yes,Yes,0,no,14999
Honor MagicWatch 2 42mm,0.512,Kirin A1,0,0,0,0,0,None,455,none,"Android v4.0.4, iOS",152100,42,36,9.7,42,60,1.2,16,Yes,Yes,Yes,Yes,0,no,14999
Honor MagicWatch 2,0.512,Kirin A1,0,0,0,0,0,None,455,none,"Android v4.4, iOS",206116,46,41,10.7,46,60,1.39,32,Yes,Yes,Yes,Yes,0,no,11999
Amazfit GTR 2 New,1,1.2GHz Apollo 3 Lite,0,0,0,0,0,None,471,none,"Android,iOS",206116,46.4,46.4,10.9,44,60,1.39,32,Yes,Yes,Yes,Yes,0,no,11999
Samsung Galaxy Watch 4 (44mm),1.5,EXYNOS W920,0,0,0,0,0,NONE,361,NONE,Android,202500,43.3,44.4,9.8,30.3,60,1.4,16,Yes,Yes,Yes,Yes,0,no,10990
Amazfit GTS 2,2,"DIALOG DA14697 0.1 GHZ, CORTEX M33F, CORTEX M0+",0,0,0,0,0,NONE,220,NONE,"Android,iOS",153816,42.8,35.6,9.7,24.7,60,1.65,3,Yes,Yes,Yes,Yes,0,no,8999
Samsung Gear S2 Smartwatch,0.512,EXYNOS 3250,0,0,0,0,0,NONE,250,NONE,Android,129600,Â 49.8,42.3,11.4,47,60,1.2,4,Yes,Yes,Yes,Yes,0,no,7999
Amazfit GTS 3,4,SNAPDRAGON WEAR 2100,0,0,0,0,0,NONE,250,NONE,"Android,iOS",175500,36,42.4,8.8,24.4,30,1.75,0,Yes,Yes,Yes,Yes,0,no,9999
Samsung Galaxy Smartwatch,4,EXYNOS 9110 DUAL CORE PROCESSOR,0,0,0,0,0,NONE,247,NONE,"Android,iOS",129600,Â 49,46,13,49,60,1.2,4,No,Yes,Yes,Yes,0,no,10999
Amazfit Pace Smartwatch,0.512,1.2 GHZ CORE,0,0,0,0,0,NONE,280,NONE,"Android,iOS",96000,45.72,45.72,12.7,53.7,55.53,1.339,4,No,Yes,Yes,Yes,0,no,10999
Amazfit GTR 3,6,SNAPDRAGON 4 GEN 1 PROCESSOR,0,0,0,0,0,NONE,450,NONE,"Android,iOS",206116,45.8,45.8,10.8,42,30,1.39,2.3,Yes,Yes,Yes,Yes,0,no,13999
Motorola Moto 360 Gen 2 Smartwatch,0.512,QUALCOMM SNAPDRAGON 400 APQ8026,0,0,0,0,0,NONE,400,NONE,"Android,iOS",118800,42,42,11.4,178,60,1.56,4,No,Yes,Yes,Yes,0,no,7999
Fossil Q Explorist Smartwatch,4,SNAPDRAGON WEAR 2100,0,0,0,0,0,NONE,370,NONE,"Android,iOS",102400,46,46,12.5,166,90,5,0.512,Yes,Yes,Yes,No,0,no,9997
Amazfit T-Rex Pro,0.512,SC9863A1,0,0,0,0,0,NONE,390,NONE,"Android,iOS",115200,47.7,47.7,13.5,59.4,55,1.3,0.512,No,Yes,Yes,Yes,0,no,12999
Realme Watch S Pro,4,ARM CORTEX M4,0,0,0,0,0,NONE,420,NONE,"Android,iOS",206116,46,257.6,11.1,63.5,30,1.39,0,No,Yes,Yes,Yes,0,no,9999
Oppo Watch (41mm),1,"QUALCOMM SNAPDRAGON WEAR 3100, AMBIQ MICRO APOLLO3 WIRELESS",0,0,0,0,0,NONE,300,NONE,"Android,iOS",115200,36.37,41.45,11.4,30.1,60,1.91,8,Yes,Yes,Yes,Yes,0,no,14990
Infinix Note 30 5G,4,MEDIATEK DIMENSITY 6080,16,108,2,0,0,AI,5000,ANDROID 13,Android,2656800,168.62,76.5,8.45,204.7,120,6.78,128,Yes,No,No,No,3.5,Yes,14999
Moto G13,4,MEDIATEK HELIO G85,8,50,2,2,0,NONE,5000,ANDROID 13,Android,1152000,162.7,74.66,8.19,183.45,90,6.5,64,Yes,No,No,No,3.5,Yes,9999
Xiaomi Redmi 9 (Global),3,MEDIATEK HELIO G80,8,13,8,5,2,NONE,5020,ANDROID 10,Android,2527200,163.32,77.01,9.01,198,60,6.53,32,Yes,No,No,No,3.5,Yes,8999
Tecno Spark 10 5G,4,MEDIATEK DIMENSITY 6020,8,50,0,0,0,NONE,5000,ANDROID 13,Android,1232640,164.37,75.45,8.4,193,90,6.6,64,Yes,No,No,No,3.5,Yes,15000
Realme 8i,4,MEDIATEK HELIO G96,16,50,2,2,0,NONE,5000,ANDROID 11,Android,2604960,164.1,75.5,8.5,194,120,6.6,64,Yes,No,No,No,3.5,Yes,14000
Oppo A15,3,MEDIATEK HELIO P35 (MT6765),5,13,2,2,0,NONE,4230,ANDROID 10,Android,1152000,164,75,8,175,60,6.52,32,Yes,No,No,No,3.5,Yes,10999
Realme C35,4,UNISOC T616,8,50,2,2,0,NONE,5000,ANDROID 11,Android,2600640,164.4,75.6,8.1,189,60,6.6,64,Yes,No,No,No,3.5,Yes,9699
Samsung Galaxy A12 (Exynos),4,SAMSUNG EXYNOS 850,8,48,5,2,2,NONE,5000,ANDROID 11,Android,1152000,164,75.8,8.9,205,60,6.5,64,Yes,No,No,No,3.5,Yes,13999
Realme C12,3,MEDIATEK HELIO G35,5,13,2,2,0,NONE,6000,ANDROID 10,Android,1152000,164.5,75.9,9.8,209,120,6.5,32,Yes,No,No,No,3.5,Yes,10999
Tecno Camon 20,8,MEDIATEK HELIO G85,32,64,2,0,0,QVGA,5000,ANDROID 13,Android,2592000,162.71,75.89,7.82,190,60,6.67,256,Yes,No,No,No,3.5,Yes,14999
Xiaomi Redmi Note 12 4G,6,SNAPDRAGON 685 PROCESSOR,13,50,8,2,0,NONE,5000,ANDROID 13,Android,2592000,165.66,75.96,7.85,183.5,120,6.67,64,Yes,No,No,No,3.5,Yes,14999
iQOO Z6 Lite 5G,6,SNAPDRAGON 4 GEN 1 PROCESSOR,8,50,2,0,0,NONE,5000,ANDROID 12,Android,1152000,164,75.8,8.3,194,120,6.58,128,Yes,No,No,No,0,Yes,13999
Poco C55,4,MEDIATEK HELIO G85,5,50,0,0,0,NONE,5000,ANDROID 12,Android,1188000,168.8,76.4,8.8,192,60,6.71,64,Yes,No,No,No,3.5,Yes,7749
Vivo T1 44W,4,QUALCOMM SNAPDRAGON 680,16,50,2,2,0,NONE,5000,ANDROID 12,Android,2592000,160.8,73.79,8.42,182,60,6.44,128,Yes,No,No,No,3.5,Yes,14499
Infinix Hot 20 5G,4,MEDIATEK DIMENSITY 810,8,50,2,0,0,NONE,5000,ANDROID 12,Android,1152000,166.3,76.5,8.9,204,120,6.6,64,Yes,No,No,No,3.5,Yes,11499
Samsung Galaxy F23 5G,4,QUALCOMM SNAPDRAGON 750G,8,50,8,2,0,NONE,5000,ANDROID 12,Android,2600640,165.5,77,8.4,198,120,6.6,128,Yes,No,No,No,3.5,Yes,14499
Vivo Y22 (2022),4,MEDIATEK HELIO G70,8,50,2,0,0,NONE,5000,ANDROID 12,Android,1160640,164.3,76,8.38,190,60,6.55,64,Yes,No,No,No,3.5,Yes,14499
Xiaomi Redmi Y2,3,Qualcomm Snapdragon 625,5,16,0,0,0,None,3080,ANDROID 8.1 OREO,Android,1036800,160.73,77.26,8.1,170,60,5.99,32,Yes,No,No,No,3.5,Yes,9999
Vivo Y15C,3,MEDIATEK HELIO P35 (MT6765),8,13,2,0,0,None,5000,ANDROID 12 GO EDITION,Android,1152000,164.4,75.7,8.38,179,60,6.51,32,Yes,No,No,No,3.5,Yes,9499
Realme C20,2,MEDIATEK HELIO P22T,5,8,0,0,0,None,5000,ANDROID 10,Android,1152000,165.2,76.4,8.9,190,60,6.52,32,Yes,No,No,No,3.5,No,7290
Xiaomi Redmi 6A,2,MediaTek Helio A22,5,13,0,0,0,AI,3000,ANDROID 8.1 OREO,Android,1036800,147.46,71.49,8.3,145,60,5.45,32,Yes,No,No,No,3.5,No,7649
POCO C31,3,MediaTek Helio G35,5,5,0,0,0,None,5000,ANDROID 11,Android,1152000,164.9,77,9,196,60,6.53,32,Yes,No,No,No,3.5,Yes,8498
Xiaomi Redmi  9 Activ,4,MediaTek Helio G35,5,5,0,0,0,None,5000,ANDROID 11,Android,1152000,164.9,77.07,9,196,60,6.53,64,Yes,No,No,No,3.5,Yes,8999
Realme Narzo 50i,2,MediaTek Helio G85,8,8,0,0,0,None,6000,ANDROID 10,Android,1152000,164.5,75.9,9.8,209,60,6.51,2,Yes,No,No,No,3.5,Yes,6299
Realme C21Y,3,Unisoc T610,5,5,0,0,0,None,5000,ANDROID 10,Android,1152000,164.5,76,9.1,200,60,6.5,32,Yes,No,No,No,3.5,Yes,9499
Poco M5,4,Mediatek Helio G99,8,50,2,2,2.4,None,5000,ANDROID 12,Android,2592000,163.99,76.09,8.9,201,90,6.58,4,Yes,No,No,No,3.5,Yes,9675
Xiaomi Redmi A1,2,MediaTek Helio A22,5,8,0,0,0,None,3000,ANDROID 7.1,Android,1152000,164.9,76.75,9.09,192,60,6.52,16,Yes,No,No,No,3.5,No,5699
Vivo Y91,2,MEDIATEK HELIO P22T,5,8,0,0,0,None,4030,ANDROID 8.1 OREO,Android,1094400,155.1,75.55,8.25,163.5,60,6.22,16,Yes,No,No,No,3.5,Yes,9600
Xiaomi Redmi 9A Sport,2,MediaTek Helio G35,5,5,0,0,0,None,5000,ANDROID 11,Android,1152000,164.9,77,9,196,60,6.53,32,Yes,No,No,No,3.5,No,7499
Xiaomi Redmi 9A,2,MediaTek Helio G35,5,5,0,0,0,None,5000,ANDROID 10,Android,1152000,164.9,77.07,9,194,60,6.53,32,Yes,No,No,No,3.5,Yes,7740
Xiaomi Redmi 6,2,MEDIATEK HELIO P22T,5,5,0,0,0,None,3000,ANDROID 8.1 OREO,Android,1036800,147.46,71.49,8.3,146,60,5.45,32,Yes,No,No,No,3.5,Yes,7999
Realme C33,3,Unisoc T612,8,50,0.3,0,0,None,5000,ANDROID 12,Android,1152000,164.2,75.7,8.3,187,60,6.5,32,Yes,No,No,No,3.5,Yes,8499
Xiaomi Redmi 5,2,Qualcomm Snapdragon 450,5,5,0,0,0,None,3300,ANDROID 7.0,Android,1036800,151.8,72.8,7.7,157,60,5.7,16,Yes,No,No,No,3.5,Yes,7999
Realme C30,2,UNISOC TIGER T618,5,8,0,0,0,None,6000,ANDROID 12 GO EDITION,Android,1152000,164.5,75.7,9.1,182,60,6.5,32,Yes,No,No,No,3.5,No,9299
Realme Narzo 50A,4,MEDIATEK HELIO G96,8,8,0,0,0,None,5000,ANDROID 11,Android,1152000,165.2,76.4,8.9,195,90,6.5,128,Yes,No,No,No,3.5,No,9999
Xiaomi Redmi Note 8 Pro,6,MEDIATEK HELIO G96,20,20,0,0,0,None,4500,ANDROID 9 PIE,Android,2527200,161.3,76.4,8.79,199.8,60,6.53,64,Yes,No,No,No,3.5,Yes,7999
Xiaomi Redmi 10,4,Mediatek Helio G88,8,50,8,2,2,None,5000,ANDROID 11,Android,2592000,161.9,75.5,8.9,181,90,6.5,64,Yes,No,No,No,3.5,Yes,9900
Xiaomi Redmi 9 Power,4,QUALCOMM SNAPDRAGON 662,8,8,0,0,0,None,6000,ANDROID 10,Android,2527200,162.3,77.3,9.6,198,120,6.53,64,Yes,No,No,No,3.5,Yes,11999
Xiaomi Redmi Note 6 Pro,4,Qualcomm Snapdragon 636,20,20,2,0,0,AI,4000,ANDROID 8.1 OREO,Android,2462400,157.9,76.38,8.2,178,60,6.26,64,Yes,No,No,No,3.5,Yes,11745
Vivo Y12,3,MEDIATEK HELIO P22T,8,16,0,0,0,None,5000,ANDROID 9 PIE,Android,1111680,159.43,76.77,8.92,190.5,60,6.35,64,Yes,No,No,No,3.5,Yes,11000
Realme 5,3,QUALCOMM SNAPDRAGON 665,13,13,0,0,0,None,5000,ANDROID 9 PIE,Android,1094400,156.5,76.4,8.9,199,60,6.5,32,Yes,No,No,No,3.5,Yes,11999
POCO X3,6,Qualcomm Snapdragon 732G,20,64,0,0,0,None,6000,ANDROID 10,Android,2592000,165.3,76.8,10.08,225,120,6.67,64,Yes,No,No,No,3.5,Yes,13999
Xiaomi Redmi 10 Prime,4,Mediatek Helio G88,8,50,8,2,2,None,6000,ANDROID 11,Android,2592000,162.3,75.3,9.1,192,90,6.5,64,Yes,No,No,No,3.5,Yes,11499
Oppo A54,4,MEDIATEK HELIO P35 (MT6765),16,16,0,0,0,None,5000,ANDROID 10,Android,1152000,163.6,75.7,8.4,192,90,6.51,4,Yes,No,No,No,3.5,Yes,11799
Vivo Y15,3,MEDIATEK HELIO P22T,13,13,8,2,0,None,5000,ANDROID 9 PIE,Android,1111680,159.43,76.77,8.92,190.5,60,6.35,64,Yes,No,No,No,3.5,Yes,12500
OnePlus 7,6,Qualcomm Snapdragon 845,16,16,0,0,0,None,3700,ANDROID 9 PIE,Android,2592000,157.5,74.8,8.2,182,90,6.41,6,Yes,No,No,No,0,Yes,14900
Poco M4 5G,4,MEDIATEK DIMENSITY 700,16,50,2,0,0,None,5000,ANDROID 12,Android,2592000,161.2,75.3,8.9,200,90,6.58,128,Yes,No,No,No,3.5,Yes,12299
POCO F1,6,Qualcomm Snapdragon 845,20,20,0,0,0,None,4000,ANDROID 8.1 OREO,Android,2425680,155.5,75.3,8.8,180,60,6.18,6,Yes,No,No,No,3.5,Yes,11899
Vivo S1,4,MEDIATEK HELIO A22 (MT6761),32,32,0,0,0,None,45000,ANDROID 9 PIE,Android,2527200,156.2,75.2,8.6,179,60,6.38,6,Yes,No,No,No,3.5,Yes,14990
Realme Narzo 50 5G,4,MEDIATEK DIMENSITY 810,16,28,2,2,0,None,5000,ANDROID 12,Android,2592000,164.2,75.8,9,182,120,6.52,64,Yes,No,No,No,3.5,Yes,14499
Xiaomi Redmi 8,2,QUALCOMM SNAPDRAGON 439,8,8,0,0,0,None,5000,ANDROID 9 PIE,Android,1094400,156.3,75.4,9.4,190,60,6.22,32,Yes,No,No,No,3.5,Yes,13999
Realme C35,4,Unisoc T612,16,8,0,0,0,None,5000,ANDROID 11,Android,2600640,164.4,75.6,8.1,189,120,6.6,64,Yes,No,No,No,3.5,Yes,14999
Vivo Y22,4,QUALCOMM SNAPDRAGON 460,8,13,2,0,0,None,5000,ANDROID 11,Android,1152000,165.2,75.7,8.4,192.3,90,6.51,4,Yes,No,No,No,3.5,Yes,14499
Oppo A57 4G,4,MediaTek Helio G35,16,8,0,0,0,None,5000,ANDROID 12,Android,2592000,164.3,75.6,8.5,187,90,6.56,64,Yes,No,No,No,3.5,Yes,13999
Xiaomi Redmi Note 9,3,MediaTek Helio G85,13,13,0,0,0,None,5020,ANDROID 10,Android,2527200,162.3,77.2,8.95,199,60,6.53,32,Yes,No,No,No,3.5,Yes,13990
Xiaomi Redmi Note 10,4,MEDIATEK HELIO G36,13,48,2,8,0,None,5000,ANDROID 11,Android,2592000,160.46,74.5,8.29,178.8,90,6.43,64,Yes,No,No,No,3.5,Yes,13999
Xiaomi Redmi 9,4,MediaTek Helio G35,8,5,0,0,0,None,5000,ANDROID 10,Android,1152000,164.9,77.07,9,196,60,6.53,32,Yes,No,No,No,3.5,Yes,10290
Samsung Galaxy On Nxt  ,3,MediaTek Helio G35,8,13,0,0,0,None,3300,Android 6.0,Android,2073600,151.7,75,8,167,60,5.5,32,Yes,Yes,Yes,No,3.5,Yes,4999
Realme Narzo 50,4,MEDIATEK HELIO G96,16,50,2,2,0,NONE,5000,ANDROID 11,Android,2592000,164.1,75.5,8.5,194,120,6.6,64,Yes,No,No,No,3.5,Yes,11789
Poco M4 Pro 5G,4,MEDIATEK DIMENSITY 810,16,50,8,0,0,NONE,5000,ANDROID 11,Android,2592000,163.56,75.78,8.75,195,90,6.6,64,Yes,No,No,No,3.5,Yes,14999
Nokia C32,2,UNISOC SC9863A1,8,50,2,0,0,NONE,5000,ANDROID 13,Android,1152000,164.6,75.9,8.5,199.4,60,6.5,64,Yes,No,No,No,3.5,Yes,8999
Poco M5,4,MEDIATEK MT8781 HELIO G99,8,50,2,2,0,NONE,5000,ANDROID 12,Android,2592000,63.99,76.09,8.9,201,60,6.58,64,Yes,No,No,No,3.5,Yes,8999
Vivo Y20A,3,QUALCOMM SNAPDRAGON 439,8,13,2,2,0,NONE,5000,ANDROID 11,Android,1152000,164.41,76.32,8.41,192,120,6.51,64,Yes,No,No,No,3.5,Yes,12990
Lava Blaze 5G,4,MEDIATEK DIMENSITY 700,8,50,2,0.3,0,NONE,5000,ANDROID 12,Android,1152000,165.3,76.4,8.9,207,90,6.51,128,Yes,No,No,No,3.5,Yes,10999
Realme 9i 5G,4,MEDIATEK DIMENSITY 810,8,50,0,0,0,NONE,5000,ANDROID 12,Android,2592000,164.4,75.1,8.1,187,90,6.6,64,Yes,No,No,No,3.5,Yes,13499
Realme 9i,4,QUALCOMM SNAPDRAGON 680,16,50,2,2,0,NONE,5000,ANDROID 11,Android,2592000,164.4,75.7,8.44,190,90,6.6,64,Yes,No,No,No,3.5,Yes,14999
Realme C30,2,UNISOC T612,5,8,0,0,0,NONE,5000,ANDROID 11 (GO EDITION),Android,1152000,164.1,75.6,8.5,182,60,6.5,32,Yes,No,No,No,3.5,Yes,5999
Motorola Moto G52,4,QUALCOMM SNAPDRAGON 680,16,50,8,2,0,NONE,5000,ANDROID 12,Android,2592000,160.98,74.46,7.99,169,90,6.6,64,Yes,No,No,No,3.5,Yes,11249
Realme C55,4,MEDIATEK HELIO G88,8,64,2,0,0,NONE,5000,ANDROID 13,Android,2592000,165.6,75.9,7.9,189.5,90,6.72,64,Yes,No,No,No,3.5,Yes,10999
Poco M4 5G,4,MEDIATEK DIMENSITY 700,8,50,2,0,0,NONE,5000,ANDROID 12,Android,2600640,163.99,76.09,8.9,200,90,6.58,64,Yes,No,No,No,3.5,Yes,11999
Realme 8,4,MEDIATEK HELIO G95,16,64,8,2,2,NONE,5000,ANDROID 11,Android,2592000,160.6,73.9,7.99,177,90,6.4,64,Yes,No,No,No,0,Yes,15999
Realme C33,3,UNISOC T612,5,50,0.3,0,0,NONE,5000,ANDROID 12,Android,1152000,164.2,75.7,8.3,187,60,6.5,32,Yes,No,No,No,3.5,Yes,8999
Realme Narzo 50 5G,4,MEDIATEK DIMENSITY 810,8,48,2,0,0,NONE,5000,ANDROID 12,Android,2600640,163.8,75.1,8.1,190,90,6.6,64,Yes,No,No,No,3.5,Yes,14999
Poco X3,6,QUALCOMM SNAPDRAGON 732G,20,64,13,2,2,NONE,6000,ANDROID 10,Android,2527200,165.3,76.8,9.4,215,120,6.67,64,Yes,No,No,No,3.5,Yes,13999
Samsung Galaxy M04,4,MEDIATEK HELIO P35 (MT6765),5,13,2,0,0,NONE,5000,ANDROID 12,Android,1180800,164.2,75.9,9.1,188,90,6.5,64,Yes,No,No,No,3.5,No,8499
Oppo A17,4,MEDIATEK HELIO P35 (MT6765),5,50,2,0,0,NONE,5000,ANDROID 12,Android,1160640,164.2,75.6,8.3,189,60,6.56,64,Yes,No,No,No,3.5,Yes,12499
Xiaomi Redmi 9 Prime,4,MEDIATEK HELIO G80,8,13,8,5,2,NONE,5020,ANDROID 10,Android,2527200,163.32,77.01,9.1,198,60,6.53,64,Yes,No,No,No,3.5,Yes,10499
Poco C50,2,MEDIATEK MT6761 HELIO A22,5,8,0,0,0,NONE,5000,ANDROID 12 GO EDITION,Android,1120000,76.45,164.9,9.09,192,120,6.52,32,Yes,No,No,No,3.5,Yes,5649
Realme Narzo N53,4,UNISOC T612,8,50,0,0,0,NONE,5000,ANDROID 13,Android,1152000,167,76.67,7.49,182,90,6.74,64,Yes,No,No,No,3.5,Yes,8999
Infinix Smart 7,4,SPREADTRUM SC9863A,5,13,0,0,0,NONE,6000,ANDROID 12,Android,1160640,164.2,75.63,9.37,207,60,6.6,64,Yes,No,No,No,3.5,Yes,7299
Tecno Spark Go (2023),4,MEDIATEK HELIO A22 (MT6761),5,13,0,0,0,NONE,5000,ANDROID 12,Android,1152000,163.86,75.51,8.9,199,60,6.56,64,Yes,No,No,No,3.5,Yes,6500
Poco C51,4,MEDIATEK HELIO G36,5,8,0,0,0,NONE,5000,ANDROID 13 GO EDITION,Android,1152000,164.9,76.75,9.09,192,60,6.52,64,Yes,No,No,No,3.5,Yes,6999
Samsung Galaxy F04,4,MEDIATEK HELIO P35 (MT6765),5,12,2,0,0,NONE,5000,ANDROID 12,Android,1152000,75.9,164.2,9.1,188,60,6.5,64,Yes,No,No,No,3.5,No,7299
Oppo A54,4,MEDIATEK HELIO P35 (MT6765),16,13,2,2,0,NONE,5000,ANDROID 10,Android,1152000,163.6,75.7,8.4,192,90,6.51,64,Yes,No,No,No,3.5,Yes,11990
Oppo A17k,3,MEDIATEK HELIO G35,5,8,0,0,0,NONE,5000,ANDROID 12,Android,1160640,164,75,8.3,189,60,6.56,64,Yes,No,No,No,3.5,Yes,10499
Motorola Moto G40 Fusion,4,QUALCOMM SNAPDRAGON 732G,16,64,8,2,0,NONE,6000,ANDROID 11,Android,2656800,169.6,75.9,9.8,225,120,6.8,64,Yes,No,No,No,3.5,Yes,12999
Xiaomi Redmi Note 9 4G,4,QUALCOMM SNAPDRAGON 662,8,48,8,2,0,NONE,6000,ANDROID 10,Android,2527200,162.3,77.2,9.6,198,120,6.53,128,Yes,No,No,No,3.5,Yes,12790
Oppo A53 2020,4,QUALCOMM SNAPDRAGON 460,16,13,2,2,0,NONE,5000,ANDROID 10,Android,1152000,169.3,75.1,8.6,186,90,6.5,64,Yes,No,No,No,3.5,Yes,11770
Vivo Y21,4,MEDIATEK HELIO P35 (MT6765),8,13,2,0,0,NONE,5000,ANDROID 11,Android,1152000,164.26,76.08,8,182,90,6.5,128,Yes,No,No,No,3.5,Yes,12849
